Identificacion;Nombres;Apellidos;Edad;Fecha nacimiento;Direccion;Telefono;Estado civil;Identificacion conyuge;Nombres del conyuge;Sujeto de credito
1311201001;JOSE ALBERTO;ROMERO OREJUELA;35;27/11/1986;Recreo;987641687;Soltero;;;SI
1714234567;GABRIELA JAHAIRA;BAUTISTA BONILLA;32;02/09/1990;San Juan;983431082;Soltero;;;SI
1710483585;SEGUNDO PEDRO;CAHUEÑAS CADENA;23;03/05/2000;Rocafuerte;966876675;Casado;1726936980;MARIA BELEN GARCIA;NO
1750901595;JENNIFER FERNANDA;LLANO YANGUISELA;34;03/04/1999;Villaflora;987658980;Divorciado;;;NO
1750549352;ANTHONY FERNANDO;LLANO YANGUISELA;28;04/10/2006;San carlos;865432586;Viudo;;;SI
1727479741;MANUEL SEBASTIAN ;MORETA GAVILANEZ;31;03/05/1991;Los olivos;987765846;Casado;1750901595;ELVIA PIEDAD RODRIGUEZ;SI
1727479816;SILVANA ELIZABETH;MORETA GAVILANEZ;33;14/08/1988;Amazonas y Pereira;987654867;Casado;1727293381;CARLOS RIGOBERTO GRANJA MUÑOZ ;SI
1715102452;JAVIER;CARRILLO VEGA;20;20/10/2001;Solanda;988786542;Viudo;;;SI
1711263895;NANCY CECILIA;TACURY BENAVIDES;41;10/12/1980;Ferroviaria;987654932;Divorciado;;;NO
1708201965;PEDRO MANUEL;TIPANTIZA TIPANTIZA;35;05/10/1986;Canrcelen bajo;687695445;Separado;;;NO
1715227136;JOSE LUIS;QUISHPE FARINANGO;37;17/07/1984;Cotocollao;687695477;Separado;;;SI
1725684920;EDISON EDUARDO;POZO CUMBAL;43;19/06/1978;Guamani;597594489;Soltero;;;SI
1701592907;ROSA ELVIRA;HINOJOSA;32;10/04/1990;San carlos;507493502;Soltero;;;SI
1704961612;LUZ DEL ROCIO;TAIPE MANOSALVAS;35;07/02/1987;Monjas;417392514;Casado;1724024391;JAIME LOPEZ;SI
1708639297;BLANCA MERCEDES;JIMENEZ MONTENEGRO;52;02/02/1970;Orquideas;327291527;Casado;1702043215;PEDRO ULCUANGO ANDRANGO;SI
1726918756;DIANA MISHELL;GARCIA CUMANICHO;47;05/03/1975;Comité del pueblo;237190539;Divorciado;;;SI
1712526175;JOSE JULIO;ALBAN ORTIZ;50;10/03/1972;La comuna;147089551;Separado;;;SI
1713237053;MARIA ESTHER;QUISHPE PUJOTA;36;26/11/1985;Los chillos;569885676;Casado;1712241528;MARCELO VILLAFUERTE;SI
1752375822;KEVIN ALEJANDRO;SIERRA UNAUCHO;29;16/07/1992;El bosque;986654323;Viudo;;;NO
1004595821;FRANKLIN DARIO;QUILUMBAQUIN FARINANGO;32;23/07/1989;Pio XII;423213410;Soltero;;;SI
1311201001;MIGUEL;VEGA;33;22/07/1089;Pintado;9876567679;Soltero;;;NO
