Identificacion;Nombres;Apellidos;Direccion;Telefono convencional;Celular;Patio labora;Edad
1742337791;NATALI SOLANGE;ABUGAUCH;Luluncoto;2542420;942383779;100;33
1336631583;PAMELA SOLEDAD;ALVAREZ ANRIQUE;Atahualpa;2544520;946763779;101;30
1720203515;VIRGINIA ESTEFANIA;BULVA ARGUELLO;Vicentina;2345676;687533376;102;45
1715413132;STEFANNY FERNANDA;ARELLANO MARTINEZ;San Juan;2280794;983431082;102;60
1713299400;OMAYRA PAOLA;PEREZ CALVACHE;Calderon;2182422;987634578;104;45
1712931631;DIEGO PASCAL;TAYUPANTA ALVAREZ;Carcelen;2084050;923456781;105;23
1721120994;MARIA JOSE;ANDRADE REVELO;Vicentina;2985678;987654122;106;46
1716163611;JUAN PABLO;LAGOS OSORIO;San Carlos;2887306;912334424;107;45
1708000060;NELSON EDUARDO;RIVERA FLORES;Chillogallo;2788934;998005190;108;57
1710687896;RAFAEL ANDRES;CASARES SUBIA;Luluncoto;2690562;983431082;109;69
1712941689;CARLOS ALBERTO;GALLARDO VELASQUEZ;El Valle;2592190;998339912;110;26
1704218567;PEDRO PABLO;CAICEDO ARAQUE;Atahualpa;2493818;993366992;111;47
1709928434;EDWARD RAUL;ACOSTA AGUILAR;Recreo;2395446;945678122;112;48
1714864327;LEONARDO SEBASTIAN;POLO MORALES;Magdalena;2297074;912456787;113;49
1712518933;ANA MERCEDES;GUZMAN LATORRE;Pintado;2198702;923546786;114;59
1716301211;CHRISTIAN ALFONSO;SALAZAR AGUILA;San Roque;2100330;935467651;115;39
1709767220;LUIS IDRIAN;ESTRELLA SILVA;Panecillo;2001958;912345654;116;32
1708521818;MARIELA;ERAZO BERNACIA;Miraflores;2203586;987654324;117;33
1713557559;MARIA ROSARIO;GALLARDO VELASQUEZ;Basilica;2805214;900123145;118;30
1707143739;JOSE RAMON;JARAMILLO VILLAGOMEZ;Panecillo;2706842;902143567;119;31
